,title,book_id,grade,syllabus,subject,content_id,page_no,page_id,index_chapter_ids,ocr_data_url,image_url,zone_id,order,category_type,annotation_type,annotation_id,actual_chapter_id,actual_subtopic_id,zone_text
37622,Science for Tenth Class: Physics,5417782611017728,Standard X,CBSE,Physics,K-AO-147-139-ZQG-16,98,106b3f915c503ab142f7c4aa9666800e,22238,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-106b3f915c503ab142f7c4aa9666800e.json?generation=1571090481220900&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-10-14.106b3f915c503ab142f7c4aa9666800e.preview.jpg?generation=1571090472425658&alt=media,a166,2.0,lesson,concept,730,22238,22780.0,"Before we solve problems involving direction of current , direction of magnetic field and the direction of force by using Fleming ' s left - hand rule , we should keep the following points in mind : ( i ) By convention , the direction of flow of positive charges is taken to be the direction of flow of current . So , the direction in which the positively charged particles such as protons or alpha particles , etc . , move will be the direction of electric current . ( ii ) The direction of electric current is , however , taken to be opposite to the direction of flow of negative charges ( such as electrons ) . So , if we are given the direction of flow of electrons , then the direction of electric current will be taken as opposite to the direction of flow of electrons . ( iii ) The direction of deflection of a current - carrying conductor ( or a stream of positively charged particles or a stream of negatively charged particles like electrons ) tells us the direction of force acting on it . Let us solve some problems now ."
131028,Science for Tenth Class: Physics,5417782611017728,Standard X,CBSE,Physics,K-AO-147-139-ZQG-16,158,37d59f684ac6ad3813a257f76332b0b4,22292,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-37d59f684ac6ad3813a257f76332b0b4.json?generation=1571090593892887&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-10-14.37d59f684ac6ad3813a257f76332b0b4.preview.jpg?generation=1571090585817374&alt=media,a316,0.0,lesson,concept,764,22292,22974.0,sources of geothermal energy . The geothermal energy is harnessed as follows :
540265,Foundation Course Physics,5630351883894784,Standard X,CBSE,Physics,K-AO-128-100-LKP-19,179,eb8e529cb962366fbb75e1e6661a85bb,22292,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-eb8e529cb962366fbb75e1e6661a85bb.json?generation=1574431841299785&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-22.eb8e529cb962366fbb75e1e6661a85bb.preview.jpg?generation=1574431832478442&alt=media,279,0.0,lesson,concept,753,22292,22971.0,"Wind Energy Definition : Flow of air is called wind . It possesses enormous energy . As the energy is due to motion of air during its flow , the energy is kinetic . Source of wind energy : Solar energy heats the entire earth but the heating is not uniform . The heating is more intense near the equator than in the polar region . This makes air in the equator region more hot and light . It rises up and its space is filled with the cooler air from polar region . In this way air flows from colder region at high pressure to hotter region at low pressure . The flow of air from one place to other constitutes wind . The smooth flow of air is disturbed continuously by rotation of the earth as well as by the local conditions . Due to these interacting factor the wind speed may vary from 5 km / h to about 10 km / h ( gentle breeze ) to very high speed of about 800 km / h of a storm ( tornado ) ."
556104,Foundation Course Physics,5630351883894784,Standard X,CBSE,Physics,K-AO-128-100-LKP-19,97,f2919ef32c4bda3d35b088c1e054f0d6,22237,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-f2919ef32c4bda3d35b088c1e054f0d6.json?generation=1574431833948375&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-22.f2919ef32c4bda3d35b088c1e054f0d6.preview.jpg?generation=1574431824965533&alt=media,a261,4.0,lesson,concept,555,22237,22561.0,"ACTIVITY CORNER Experimental verification of Ohm ' s law Apparatus : Nichrome wire AB , an ammeter , a voltmeter , a battery of two cells of 1 . 5 V each , a rheostat , one plug key , thick connecting wires . Procedure : Set up an electric circuit by connecting the battery of two cells , nichrome wire AB , an ammeter , a plug key , a rheostat in series as shown in figure . A voltmeter is attached in parallel to nichrome wire AB . cell rheostat + resistor > > Insert the plug key ; the circuit gets completed . A current starts flowing in the whole circuit including the nichrome wire AB . The rheostat , Rn is initially so adjusted that a small current passes through the circuit . The ammeter reading is noted which gives"
445465,Foundation Science Physics,6295202553659392,Standard X,CBSE,Physics,K-AO-103-130-6PK-19,38,c1eaa7337dba898bfcb8402bc1382f9c,22250,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-c1eaa7337dba898bfcb8402bc1382f9c.json?generation=1573028886324745&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-06.c1eaa7337dba898bfcb8402bc1382f9c.preview.jpg?generation=1573028877891530&alt=media,a32,2.0,lesson,concept,275,22250,22593.0,"Images formed by convex lenses Figure 2 . 17 shows a typical case of image formation by a convex lens . AB is an object placed perpendicular to the principal axis of a convex lens . To locate the image of the point B , we draw two rays , BD and BO . The ray BD is parallel to the principal axis and passes through the focus F after transmission through the lens . The ray BO passes through the optical centre 0 and is transmitted without deviation . The transmitted rays DF and OB ' intersect at B ' , which is the image of B . If we draw a perpendicular B ' A ' to the principal axis , A ' will be the image of A . Thus , A ' B ' is the image of AB . In the case shown in Figure 2 . 17 , the image A ' B ' is real . Fig . 2 . 17 Table 2 . 2 shows the ray diagrams for several cases of image formation by a convex lens . The object AB is placed perpendicular to the principal axis . The distance OF2 = OF is the focal length f . In the figures of this table , 2F , denotes a point on the same side as F2 , at a distance 2f from O . Similarly , 2F , denotes a point on the side of F , , at a distance 2f from O . Central line A Description In ( a ) , the object is at infinity . So , the incident rays are parallel . The transmitted rays meet at the focus F2 , where a point - sized , real image is formed . As the object is brought closer , the image moves away from the lens , and its size starts increasing from the point - sized image formed at the focus . The image is real and inverted . But as long as the object is beyond 2F1 , the size of the image is less than that of the object . This is shown in ( b ) . When the object is at 2F , i . e . , at a distance 2f from the lens , the image is formed at the same distance on the other side , at 2F % . This image is of the same size as the object . This is shown in ( c ) . When the object is between 2F , and Fj , the image forms beyond 2F2 , and its size is larger than that of the object . This is shown in ( d ) . What happens when the object is at the focus F / ? The ray diagram is shown in ( e ) . The rays coming from B become parallel after transmission . We can say that the transmitted rays intersect at infinity , and hence , form a real image . Also , this image is below the principal axis . Thus , the image of AB is said to be inverted , real and infinitely large . However , to the eye in the path of the transmitted rays , the rays appear to be coming from a point at infinity on the side of incident rays . Therefore , from the observer ' s point of view , the image is virtual , erect and infinitely large . If the object is placed between F and O , i . e . , within the focal length , a virtual , erect and enlarged image is formed , as shown in ( f ) ."
549345,Candid Textbok of Physics,6516051684622336,Standard X,CBSE,Physics,K-AO-112-447-B0E-19,211,ef8278c705d0444e879323b48981cde7,22250,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-ef8278c705d0444e879323b48981cde7.json?generation=1573029426289371&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-06.ef8278c705d0444e879323b48981cde7.preview.jpg?generation=1573029419530569&alt=media,a568,4.0,lesson,concept,291,22250,22590.0,We will discuss about these two kinds of spherical mirrors and learn how to use the laws of reflection to locate the images that such mirrors produce . A number of applications of these mirrors will also be presented .
350524,Foundation Science Physics,6295202553659392,Standard X,CBSE,Physics,K-AO-103-130-6PK-19,84,9834dfa2cc6aa50cbe2b552ad3ecb049,22237,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-9834dfa2cc6aa50cbe2b552ad3ecb049.json?generation=1573029075926176&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-06.9834dfa2cc6aa50cbe2b552ad3ecb049.preview.jpg?generation=1573029069088415&alt=media,1,1.0,question,concept,550,22237,22560.0,"EXAMPLE 12 Three identical bulbs are connected in parallel with a battery . The current drawn from the battery is 6 A . If one of the bulbs gets fused , what will be the total current drawn from the battery ? Solution Fused R R Let the potential difference maintained by the battery be V , and let the resistance of each bulb be R ( Figure 4 . W3a ) . If the equivalent resistance of the circuit isr , 1 1 1 1 - = - + - + R RR or rart Fig . 4 . W3 The current is i = = . It is given that this current is 6 A . r R So , 6 A = 3 or = 2 A . If one of the bulbs gets fused ( Figure 4 . W3b ) , only two bulbs remain connected in parallel . The equivalent resistancer ' in that case is given by 1 . 1 1 or = 2 The current in the battery will be i = V _ 2V = ( 2 A ) = 4 A . — r ! R Alternative As the three bulbs are identical , they will draw equal currents . As the total current is 6 A , each bulb will draw 2 A of current . When one bulb gets fused , there is no current through it . Each of the remaining bulbs remains connected to the battery as before . So , current through each is still 2 A , giving a total current of 4 A through the battery ."
550660,Science for Tenth Class: Physics,5417782611017728,Standard X,CBSE,Physics,K-AO-147-139-ZQG-16,236,f0153ded48ecf1cc6b74497ca4d40bb1,22250,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-f0153ded48ecf1cc6b74497ca4d40bb1.json?generation=1571090737853384&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-10-14.f0153ded48ecf1cc6b74497ca4d40bb1.preview.jpg?generation=1571090730818642&alt=media,concept_link_1,5.0,diagram,concept,298,22250,22592.0,Medium 1 Angle of incidence Incident ray Medium 2 Angle Refracted ray of I refraction Figure 19 . A ray of light going from medium 1 into medium 2
3726,Candid Textbok of Physics,6516051684622336,Standard X,CBSE,Physics,K-AO-112-447-B0E-19,97,01a16bb22d2ba7fb3a6ad016bbc058e7,22238,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-01a16bb22d2ba7fb3a6ad016bbc058e7.json?generation=1573029106811528&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-11-06.01a16bb22d2ba7fb3a6ad016bbc058e7.preview.jpg?generation=1573029099901391&alt=media,32,8.0,diagram,concept,721,22238,22779.0,Fig 2 . 19 : A current carrying solenoid coil is used to magnetise an iron rod inside it . This arrangement is called an electromagnet . 22 Terowo2 Daterdag SECURITIBIO I EEEDED 1375 ) 2010 SOLISTE ERBEDA aceasta este Bocancea 32GIS . ROSETTE REEBIEBED NABE OCESSO
317597,Science for Tenth Class: Physics,5417782611017728,Standard X,CBSE,Physics,K-AO-147-139-ZQG-16,308,892200d8061b0f65fec57e90589022d1,82005,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-attachment-ocr-data-892200d8061b0f65fec57e90589022d1.json?generation=1571090876484142&alt=media,https://www.googleapis.com/download/storage/v1/b/goggles-tools/o/page-2019-10-14.892200d8061b0f65fec57e90589022d1.preview.jpg?generation=1571090867579423&alt=media,a453,10.0,question,concept,32293,82005,82011.0,19 . Sunset is red because at that time the light coming from the sun has to travel : ( a ) lesser thickness of earth ' s atmosphere ( b ) greater thickness of earth ' s atmosphere ( c ) varying thickness of earth ' s atmosphere ( d ) along the horizon
